Time,S0Read,S0Write,S1Read,S1Write
10:40:03,102.69,97.77,83.03,45.24
10:40:05,111.39,105.26,50.37,49.29
10:40:07,110.09,102.55,44.07,42.79
10:40:09,103.53,99.59,44.87,45.27
10:40:11,130.36,117.67,94.67,65.70
10:40:13,108.21,103.93,43.73,43.23
10:40:15,106.82,102.92,42.20,42.32
10:40:17,117.89,112.80,49.80,50.90
10:40:19,109.46,106.39,47.48,49.27
10:40:21,120.46,113.30,58.82,54.97
10:40:23,116.34,113.26,53.86,52.87
10:40:25,111.18,107.72,102.18,53.13
10:40:27,118.31,111.22,46.67,47.22
10:40:29,108.02,103.76,42.21,42.66
10:40:31,120.31,112.68,55.68,49.12
10:40:33,109.53,104.86,43.39,42.44
10:40:35,109.06,105.18,41.80,42.32
10:40:37,115.59,109.51,42.01,41.86
10:40:39,109.95,105.64,83.26,44.99
10:40:41,121.36,113.65,55.50,50.09
10:40:43,111.71,107.53,42.33,42.65
10:40:45,116.74,111.78,43.61,43.50
10:40:47,111.81,107.64,43.82,44.58
10:40:49,110.95,106.39,42.70,42.49
10:40:51,120.14,112.47,54.69,48.51
10:40:53,112.59,107.87,43.36,43.27
10:40:55,116.44,111.03,43.30,43.29
10:40:57,114.64,111.19,47.03,48.95
10:40:59,114.44,110.84,101.36,53.45
10:41:01,124.33,116.85,63.27,57.14
10:41:03,114.13,109.81,45.88,48.27
10:41:05,118.73,112.94,46.29,48.63
10:41:07,112.30,107.09,45.45,44.76
10:41:09,111.47,106.47,41.89,42.36
10:41:11,126.43,115.66,75.39,55.52
10:41:13,113.81,108.70,42.31,41.74
10:41:15,116.03,110.48,40.29,40.56
10:41:17,113.92,109.36,46.63,46.32
10:41:19,112.15,107.41,40.72,40.85
10:41:21,126.89,118.38,110.15,53.30
10:41:23,119.28,113.86,46.04,43.13
10:41:25,122.19,114.52,42.06,42.47
10:41:27,113.71,109.97,44.57,43.69
10:41:29,113.39,108.85,43.86,44.29
